ville,lat,lon
Badalona,41.4493539,2.248254
Gandesa,41.0520413,0.4388956
Gavà,41.3050933,2.0063126
Granollers,41.6079555,2.2876008
Manresa,41.7288939,1.8286765
Mollet del Vallès,41.5393484,2.2130934
Montcada i Reixac,41.4823115,2.1869985
Pardines,42.312731,2.2139864
Rubí,41.4936194,2.0319476
Sabadell,41.5421013,2.1138977
Sant Cugat del Vallès,41.4728432,2.0817809
Sort,42.4114509,1.1298362
Terrassa,41.5629623,2.0100492
Agullana,42.3938409,2.8469168
Alcover,41.2629186,1.1687697
Constantí,41.1528113,1.2136747
Flix,41.2340447,0.5545786
Lleida,41.6147605,0.6267842
Manlleu,41.9999811,2.2841159
Mataró,41.5398348,2.4448926
Ponts,41.9160096,1.1882504
Reus,41.1555564,1.1076133
Sant Andreu de la Barca,41.4499648,1.9719416
Sant Celoni,41.6895041,2.4914526
Santa Coloma de Gramenet,41.4515626,2.2083371
Santa Maria de Palautordera,41.693781,2.4442321
Santa Pau,42.1442606,2.571379
Santa Perpètua de Mogoda,41.5328106,2.1823309
Vilafranca del Penedès,41.3463825,1.6995213
Vilanova i la Geltrú,41.2241992,1.7256327
Alcanar,40.5438634,0.4793334
Barberà del Vallès,41.5172534,2.1265942
Igualada,41.5790182,1.617346
Martorell,41.4769177,1.9283971
Sant Adrià de Besòs,41.4304832,2.2182775
Sant Vicenç dels Horts,41.3934193,2.0099482
Vic,41.9302021,2.2545943
Amposta,40.7079905,0.5812561
Bellver de Cerdanya,42.3702061,1.7745202
Berga,42.1011456,1.8454758
Barcelona (Ciutadella),41.3838586,2.1847211
Barcelona (Eixample),41.3927108,2.1681696
Barcelona (Gràcia - Sant Gervasi),41.3999778,2.1449079
Barcelona (Observatori Fabra),,
Barcelona (Palau Reial),41.3840391,2.1770411
Barcelona (Parc Vall Hebron),,
Barcelona (Poblenou),41.3975374,2.1890583
Barcelona (Sants),41.3789308,2.14052
Begur,41.9541918,3.2088349
Bellver de Cerdanya (el Talló),,
Cubelles (Poliesportiu),,
El Prat de Llobregat (Jardins de la Pau),,
El Prat de Llobregat (Sagnier),,
Els Guiamets,41.1014359,0.7497047
Girona (Escola de Música),,
Juneda (Pla del Molí),,
L'Ametlla de Mar,40.8838957,0.800957
L'Hospitalet de Llobregat,41.3598601,2.0997927
La Sénia,40.6352128,0.2795758
Montcada i Reixac (Can Sant Joan),41.4800154,2.1872317
Montsec,41.811754,2.0012076
Montseny (La Castanya),,
Pallejà (Roca de Vilana),,
Perafort (Puigdelfí),41.1938768,1.2464162
Sant Vicenç dels Horts (Ribot),41.3917493,2.0095635
Sta. Margarida i els Monjos (La Ràpita),41.3211087,1.6628829
Tarragona (Bonavista),41.1234211,1.1878391
Tarragona (Parc de la Ciutat),,
Tarragona (Sant Salvador),41.1625092,1.2436141
Tarragona (Universitat Laboral),,
Tona (Zona Esportiva),41.8467279,2.222708
Vandellòs (Barranc del Terme),,
Vandellòs (Els Dedalts),,
Vandellòs (Viver),,
Vila-seca (IES Vila-seca),41.1027756,1.1491791
Viladecans - Atrium,41.3140536,2.0138071
Jorba,41.6014534,1.547408
Calldetenes,41.9257651,2.2834318
Os de Balaguer,41.8713099,0.7193399
Figaró-Montmany,41.7098218,2.253646
Bonastre,41.2211883,1.4385518
Navès,41.9911068,1.639612
Rabós,42.3787458,3.0283472
Sarrià de Ter,42.0141923,2.8175976
Vilamacolum,42.1965528,3.0571146
Alcarràs,41.5632578,0.5240396
Montseny,41.7593697,2.3952061
Aiguamúrcia,41.329339,1.3570334
Aiguafreda,41.7692525,2.2517162
Prat de Llobregat,41.3246333,2.0952568
Jonquera,42.3786952,1.7191297
Vilallonga de Ter,42.331497,2.3125292
Torroella de Fluvià,42.174492,3.0402489
Llinars del Vallès,41.6383547,2.4033771
Olesa de Montserrat,41.543053,1.8931874
Espunyola,42.0530138,1.7698522
Tossa de Mar,41.7197773,2.9312155
Alcanó,41.4807832,0.6176169
Vall de Boí,41.5100293,2.2415135
Móra la Nova,41.1005287,0.6502156
Vall-llobrega,41.8801015,3.1268338
Sant Pere Pescador,42.1899836,3.0837479
Cercs,42.1463987,1.8606233
Sant Jaume d'Enveja,40.7062849,0.7167813
